ID;DIMENSION;b;SEb;SDb;a;SEa;SDa;DOMAIN;UNIT
D1;Conoscere;1.556;0.007;0.023;1.161;0.013;0.024;Numeri;
D2;Risolvere problemi;0.03;0.008;0.017;1.244;0.012;0.022;Dati e previsioni;
D3a;Conoscere;1.76;0.007;0.023;1.072;0.014;0.023;Spazio e figure;D3
D3b;Conoscere;0.555;0.007;0.016;0.806;0.013;0.017;Spazio e figure;D3
D4;Conoscere;-0.474;0.009;0.016;1.066;0.012;0.02;Relazioni e funzioni;
D5;Argomentare;0.536;0.008;0.017;1.192;0.012;0.021;Numeri;
D6;Conoscere;0.587;0.007;0.016;0.96;0.012;0.019;Spazio e figure;
D7;Conoscere;0.188;0.008;0.013;0.581;0.013;0.016;Relazioni e funzioni;
D8a;Risolvere problemi;1.845;0.007;0.024;1.366;0.013;0.026;Dati e previsioni;D8
D8b;Risolvere problemi;0.532;0.008;0.017;1.233;0.012;0.021;Dati e previsioni;D8
D8c;Risolvere problemi;-0.595;0.009;0.018;1.313;0.012;0.022;Dati e previsioni;D8
D9;Conoscere;2.077;0.007;0.027;1.613;0.013;0.029;Numeri;
D10;Risolvere problemi;0.074;0.008;0.015;1.031;0.012;0.02;Spazio e figure;
D11;Conoscere;-1.033;0.01;0.02;1.501;0.012;0.026;Relazioni e funzioni;
D12a;Conoscere;1.418;0.007;0.021;1.183;0.013;0.025;Dati e previsioni;D12
D12b;Conoscere;0.614;0.007;0.018;1.294;0.012;0.024;Dati e previsioni;D12
D12c;Conoscere;2.776;0.006;0.035;1.284;0.016;0.035;Dati e previsioni;D12
D13;Conoscere;-0.284;0.009;0.013;0.583;0.013;0.016;Relazioni e funzioni;
D14;Conoscere;-0.766;0.01;0.017;1.178;0.012;0.022;Spazio e figure;
D15;Risolvere problemi;1.234;0.007;0.022;1.605;0.012;0.027;Numeri;
D16;Conoscere;-0.25;0.009;0.018;1.536;0.011;0.024;Spazio e figure;
D17;Conoscere;0.553;0.008;0.018;1.556;0.012;0.027;Numeri;
D18;Risolvere problemi;1.709;0.007;0.023;1.239;0.014;0.027;Dati e previsioni;
D19;Argomentare;0.547;0.008;0.017;1.133;0.012;0.022;Numeri;
D20;Risolvere problemi;-0.361;0.009;0.016;0.93;0.012;0.019;Relazioni e funzioni;
D21;Conoscere;0.178;0.008;0.016;0.963;0.012;0.018;Spazio e figure;
D22;Argomentare;0.341;0.008;0.016;1.062;0.012;0.021;Relazioni e funzioni;
D23;Risolvere problemi;0.74;0.007;0.02;1.57;0.012;0.028;Dati e previsioni;
D24;Conoscere;-0.05;0.008;0.015;0.75;0.013;0.017;Numeri;
D25_aggregata;Conoscere;0.082;0.008;0.015;0.936;0.012;0.018;Numeri;
D26;Conoscere;0.873;0.007;0.018;1.092;0.013;0.022;Spazio e figure;
D27;Risolvere problemi;-0.115;0.008;0.014;0.642;0.013;0.016;Relazioni e funzioni;
D28;Risolvere problemi;0.101;0.008;0.016;1.1;0.012;0.021;Dati e previsioni;
D29;Argomentare;0.188;0.008;0.015;1.048;0.012;0.019;Spazio e figure;
D30;Conoscere;0.505;0.007;0.013;0.488;0.013;0.014;Spazio e figure;
D31;Conoscere;-0.384;0.009;0.018;1.483;0.012;0.025;Numeri;
D32_aggregata;Conoscere;-1.032;0.011;0.016;0.756;0.014;0.019;Dati e previsioni;
D33;Risolvere problemi;1.427;0.007;0.018;0.994;0.013;0.021;Numeri;
D34;Conoscere;1.299;0.007;0.017;0.753;0.014;0.018;Spazio e figure;
D1;Conoscere;1.556;0.007;0.023;1.161;0.013;0.024;Numeri;
D2;Risolvere problemi;0.03;0.008;0.017;1.244;0.012;0.022;Dati e previsioni;
