a,b
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
1.161,1.556
1.244,0.03
1.072,1.76
0.806,0.555
1.066,-0.474
1.192,0.536
0.96,0.587
0.581,0.188
1.366,1.845
1.233,0.532
1.313,-0.595
1.613,2.077
1.031,0.074
1.501,-1.033
1.183,1.418
1.294,0.614
1.284,2.776
0.583,-0.284
1.178,-0.766
1.605,1.234
1.536,-0.25
1.556,0.553
1.239,1.709
1.133,0.547
0.93,-0.361
0.963,0.178
1.062,0.341
1.57,0.74
0.75,-0.05
0.936,0.082
1.092,0.873
0.642,-0.115
1.1,0.101
1.048,0.188
0.488,0.505
1.483,-0.384
0.756,-1.032
0.994,1.427
0.753,1.299
