ID,a,b,Domain,Dimension,Unit,Answer_type
1,1.0109872792130987,-0.5495382389861544,Numbers,Knowing,,Multiple-Choice
2,1.5035926438340386,1.7316717799347079,Space and Figures,Knowing,U12,Multiple-Choice
3,1.4209973267717106,1.348688055778894,Data and Forecasting,Problem Solving,,Matching
4,1.0696752083850931,0.8419611447098624,Data and Forecasting,Knowing,,Open-Ended
5,1.0983582564497354,-1.518650714035255,Space and Figures,Problem Solving,,Open-Ended
6,1.387851057711417,-1.2627506983711294,Numbers,Knowing,,Multiple-Choice
7,0.9990642129166274,-0.3141973810768816,Space and Figures,Problem Solving,,Matching
8,1.3273659247423608,-1.1158392702899649,Relations and Functions,Knowing,,Multiple-Choice
9,1.0272485414638897,0.26332087903589585,Numbers,Knowing,,Multiple-Choice
10,0.6076186722158501,1.025397801507712,Space and Figures,Knowing,,Multiple-Choice
11,0.896130864799741,-0.08108490491097375,Numbers,Problem Solving,,Matching
12,1.1054033576697524,-0.41643469726283255,Space and Figures,Knowing,,Open-Ended
13,1.230612540750329,0.21356618296320973,Relations and Functions,Knowing,,Multiple-Choice
14,1.116540939520423,0.8444539018333227,Relations and Functions,Knowing,,Multiple-Choice
15,1.3537471384331068,-0.959287904082448,Data and Forecasting,Arguing,,Multiple-Choice
16,1.1988862520892036,-0.47940398665152123,Numbers,Knowing,,Open-Ended
17,1.1832179565506464,-0.5737776060421762,Space and Figures,Problem Solving,,Multiple-Choice
18,1.1900573478801202,-0.3869735464684906,Relations and Functions,Knowing,U12,Multiple-Choice
19,1.228573316273962,-2.1284907433051177,Relations and Functions,Knowing,,Matching
20,1.2171846057651603,-0.5403031060313435,Space and Figures,Arguing,,Multiple-Choice
21,0.961408021069226,-0.9790043813886379,Relations and Functions,Problem Solving,,Matching
22,1.1444920435393582,-0.9794745929360247,Numbers,Arguing,,Multiple-Choice
23,0.9428150106801974,0.6877950529243454,Data and Forecasting,Knowing,U10,Multiple-Choice
24,1.2394924892800063,0.09645493129948302,Relations and Functions,Arguing,,Multiple-Choice
25,1.1905798749483785,-0.7364418701800027,Numbers,Arguing,,Open-Ended
26,1.3789551434553442,-0.8119467740031393,Data and Forecasting,Knowing,,Matching
27,1.155612023197787,-1.1580955180600618,Numbers,Knowing,,Multiple-Choice
28,1.1100693286013161,-0.07795070030198636,Numbers,Knowing,U5,Multiple-Choice
29,0.9974158927377815,0.8060698739792295,Data and Forecasting,Problem Solving,,Multiple-Choice
30,1.0434468362234954,-0.31924483468560866,Relations and Functions,Knowing,,Multiple-Choice
31,1.4212640894323079,-1.2979094274691412,Space and Figures,Knowing,U4,Multiple-Choice
32,1.1515313850670443,-0.5877906543794726,Space and Figures,Problem Solving,,Multiple-Choice
33,0.6155099883069008,-0.3643194985206981,Data and Forecasting,Knowing,U11,Open-Ended
34,0.9862558108539302,-0.7646939211045611,Numbers,Knowing,,Multiple-Choice
35,1.0571951404556694,-1.156512735994152,Space and Figures,Knowing,,Multiple-Choice
36,0.9318214308196582,0.07473593936088663,Data and Forecasting,Knowing,,Matching
37,1.009211487129021,-2.161578696198874,Data and Forecasting,Problem Solving,,Multiple-Choice
38,0.7813668566020804,-0.9744509344040895,Space and Figures,Problem Solving,,Multiple-Choice
39,1.1304292684890571,-1.2044010651020667,Numbers,Problem Solving,,Matching
40,1.0843012151817084,-1.6431257061402733,Data and Forecasting,Knowing,,Multiple-Choice
41,1.285724011742132,1.828226014432543,Numbers,Problem Solving,,Open-Ended
42,1.1186422710316715,-2.0227859498278873,Space and Figures,Knowing,,Multiple-Choice
43,0.9606490732327789,-1.060578577656216,Data and Forecasting,Problem Solving,,Multiple-Choice
44,1.2616001516268107,-0.18609738800886255,Space and Figures,Knowing,U10,Open-Ended
45,1.1437879642890432,-1.633522686914862,Space and Figures,Knowing,,Open-Ended
46,1.0172252245441293,-2.913797659798422,Numbers,Knowing,,Multiple-Choice
47,1.3332242618869146,-0.8931107596238588,Data and Forecasting,Knowing,,Multiple-Choice
