Item_ID;UNIT;Block;Block_Seq;Grade;Subject;Cycle;Secured_Status;Scaling_Status;Content_Domain;Topic_Area;Topic;Performance_Objective;Cognitive_Domain;Item_Type;Options;Key;Maximum_Points;Label;a;b;c;Biology_Knowing;Biology_Applying;Biology_Reasoning;Chemistry_Knowing;Chemistry_Applying;Chemistry_Reasoning;Physics_Knowing;Physics_Applying;Physics_Reasoning;Earth_Knowing;Earth_Applying;Earth_Reasoning
S032007;;S05;4;8;S;3;Yes;Yes;Biology;Characteristics_Classification_and_Life_Processes_of_Organisms;2;;Knowing;CR;;;1;One_function_of_the_uterus;0.84227;0.35532;0;1;0;0;0;0;0;0;0;0;0;0;0
S032024;;S07;7;8;S;3;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;1;;Knowing;MC;4;C;1;Energy_conversion_in_a_flashlight;1.07416;1.26476;0.25163;0;0;0;0;0;0;1;0;0;0;0;0
S032056;;S01;5;8;S;3;Yes;Yes;Chemistry;Chemical_Change;1;;Applying;CR;;;1;Sodium_bicarbonate_in_vinegar;0.8711;0.4071;0;0;0;0;0;1;0;0;0;0;0;0;0
S032060;;S07;10;8;S;3;Yes;Yes;Earth_Science;Earth�s_Processes_Cycles_and_History;2;;Applying;CR;;;1;Order_of_steps_in_the_water_cycle;1.1678;-0.43392;0;0;0;0;0;0;0;0;0;0;0;1;0
S032087;;S01;6;8;S;3;Yes;Yes;Biology;Human_Health;1;;Knowing;MC;4;C;1;Long-term_immunity_against_disease;0.92731;0.73921;0.20072;1;0;0;0;0;0;0;0;0;0;0;0
S032126;;S01;12;8;S;3;Yes;Yes;Earth_Science;Earth�s_Processes_Cycles_and_History;3;;Knowing;CR;;;1;Volcanic_eruption_effects;0.76417;0.04982;0;0;0;0;0;0;0;0;0;0;1;0;0
S032141;;S07;9;8;S;3;Yes;Yes;Physics;Forces_and_Motion;1;;Applying;MC;4;D;1;Gravity_acting_on_parachute_jumper;2.04273;1.00492;0.18904;0;0;0;0;0;0;0;1;0;0;0;0
S032151;;S05;9;8;S;3;Yes;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;2;;Knowing;MC;4;B;1;Major_cause_of_tides;1.10604;0.64839;0.17934;0;0;0;0;0;0;0;0;0;1;0;0
S032156;;S01;4;8;S;3;Yes;Yes;Chemistry;Properties_of_Matter;1;;Reasoning;MC;4;C;1;Solubility/temperature_graphs;1.16049;0.72228;0.25942;0;0;0;0;0;1;0;0;0;0;0;0
S032158;;S01;14;8;S;3;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;3;;Knowing;MC;4;B;1;Molecules_of_gas_when_heated;0.94909;0.26845;0.32933;0;0;0;0;0;0;1;0;0;0;0;0
S032160;;S01;10;8;S;3;Yes;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;2;;Knowing;MC;4;C;1;Difference_bet._planets_and_moons;0.85637;0.29501;0.3398;0;0;0;0;0;0;0;0;0;1;0;0
S032184;;S05;7;8;S;3;Yes;Yes;Physics;Electricity_and_Magnetism;1;;Applying;MC;4;D;1;Bulbs_in_series/parallel_circuit;0.3613;1.37605;0.18012;0;0;0;0;0;0;0;1;0;0;0;0
S032238;;S01;8;8;S;3;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;3;;Applying;MC;4;A;1;Gaps_between_metal_rail_spans;1.32614;0.72296;0.19132;0;0;0;0;0;0;0;1;0;0;0;0
S032272;;S07;8;8;S;3;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;3;;Reasoning;CR;;;1;Water_level_in_heated_container;1.14226;1.36851;0;0;0;0;0;0;0;0;0;1;0;0;0
S032279;;S01;7;8;S;3;Yes;Yes;Physics;Forces_and_Motion;4;;Applying;MC;4;D;1;Why_bottle_collapses_in_the_valley;0.76778;1.39485;0.17935;0;0;0;0;0;0;0;1;0;0;0;0
S032315;;S07;2;8;S;3;Yes;Yes;Biology;Ecosystems;4;;Reasoning;MC;4;D;1;Antelope_population_graph;0.86173;0.5904;0.19641;0;0;1;0;0;0;0;0;0;0;0;0
S032394;;S05;8;8;S;3;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;2;;Applying;MC;4;C;1;Heat_conduction_through_copper_rod;0.98061;0.59794;0.27719;0;0;0;0;0;0;0;1;0;0;0;0
S032463;;S07;11;8;S;3;Yes;Yes;Earth_Science;Earth�s_Resources_Their_Use_and_Conservation;2;;Knowing;MC;4;D;1;Soil_change_due_to_natural_causes;1.38321;0.25504;0.23772;0;0;0;0;0;0;0;0;0;1;0;0
S032465;;S07;1;8;S;3;Yes;Yes;Biology;Human_Health;1;;Knowing;MC;4;A;1;Cells_that_destroy_bacteria;0.84034;0.15319;0.27037;1;0;0;0;0;0;0;0;0;0;0;0
S032502;;S05;5;8;S;3;Yes;Yes;Chemistry;Classification_and_Composition_of_Matter;4;;Applying;MC;4;C;1;Diagram_of_water_molecules;0.99741;0.54936;0.17187;0;0;0;0;1;0;0;0;0;0;0;0
S032510;;S01;13;8;S;3;Yes;Yes;Earth_Science;Earth�s_Resources_Their_Use_and_Conservation;1;;Knowing;MC;4;D;1;Material_that_breaks_down_quickly;0.96478;-0.06851;0.29491;0;0;0;0;0;0;0;0;0;1;0;0
S032514;;S07;13;8;S;3;Yes;Yes;Biology;Ecosystems;4;;Applying;MC;4;C;1;Growth_of_algae_in_a_lake;0.60462;0.8557;0.2226;0;1;0;0;0;0;0;0;0;0;0;0
S032542;;S05;1;8;S;3;Yes;Yes;Biology;Characteristics_Classification_and_Life_Processes_of_Organisms;1;;Applying;MC;4;B;1;Classification_of_animals_;1.36029;0.69205;0.29266;0;1;0;0;0;0;0;0;0;0;0;0
S032570;;S07;6;8;S;3;Yes;Yes;Chemistry;Classification_and_Composition_of_Matter;2;;Reasoning;CR;;;1;Identify_if_substance_is_metal;0.97116;0.50145;0;0;0;0;0;0;1;0;0;0;0;0;0
S032579;;S07;5;8;S;3;Yes;Yes;Chemistry;Classification_and_Composition_of_Matter;4;;Applying;MC;4;B;1;Diagram_for_structure_of_matter;1.25424;1.27817;0.30517;0;0;0;0;1;0;0;0;0;0;0;0
S032611;;S01;1;8;S;3;Yes;Yes;Biology;Cells_and_Their_Functions;2;;Knowing;MC;4;A;1;Purpose_of_cellular_respiration;1.02657;1.24022;0.229;1;0;0;0;0;0;0;0;0;0;0;0
S032614;;S01;2;8;S;3;Yes;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;3;;Applying;CR;;;1;Number_of_kidneys_son_has_at_birth;0.80504;-0.15465;0;0;1;0;0;0;0;0;0;0;0;0;0
S032640;;S07;4;8;S;3;Yes;Yes;Biology;Human_Health;2;;Knowing;CR;;;1;Exercise_is_important_for_health;0.59042;-0.21466;0;1;0;0;0;0;0;0;0;0;0;0;0
S032645;;S05;2;8;S;3;Yes;Yes;Biology;Ecosystems;1;;Knowing;MC;4;A;1;True_statement_about_producers;1.01431;0.75456;0.30714;1;0;0;0;0;0;0;0;0;0;0;0
S032651A;S032651;S05;10A;8;S;3;Yes;Yes;Earth_Science;Earth�s_Structure_and_Physical_Features;1;;Applying;CR;;;1;Topographic_map:_identify_X;1.20555;0.35338;0;0;0;0;0;0;0;0;0;0;0;1;0
S032651B;S032651;S05;10B;8;S;3;Yes;Yes;Earth_Science;Earth�s_Structure_and_Physical_Features;2;;Reasoning;CR;;;1;Topographic_map:_river_path;1.03107;1.14782;0;0;0;0;0;0;0;0;0;0;0;0;1
S032654;;S01;11;8;S;3;Yes;Yes;Earth_Science;Earth�s_Processes_Cycles_and_History;3;;Reasoning;MC;4;A;1;Location_of_jungle;0.95784;0.58799;0.20452;0;0;0;0;0;0;0;0;0;0;0;1
S032665A;S032665;S05;11A;8;S;3;Yes;Yes;Biology;Ecosystems;5;;Reasoning;CR;;;1;Population_in_countries:_predict;0.9474;0.5047;0;0;0;1;0;0;0;0;0;0;0;0;0
S032665B;S032665;S05;11B;8;S;3;Yes;Yes;Biology;Ecosystems;5;;Reasoning;CR;;;1;Population_in_countries:_land_use;1.07644;0.98537;0;0;0;1;0;0;0;0;0;0;0;0;0
S032665C;S032665;S05;11C;8;S;3;Yes;Yes;Biology;Ecosystems;5;;Reasoning;CR;;;1;Population_in_countries:_pollution;0.98975;0.91919;0;0;0;1;0;0;0;0;0;0;0;0;0
S032679;;S05;6;8;S;3;Yes;Yes;Chemistry;Chemical_Change;2;;Applying;CR;;;1;Energy_released_during_a_reaction;0.81194;1.4287;0;0;0;0;0;1;0;0;0;0;0;0;0
